jobCpy,jobTitle,jobMes,jobSal,jobCon,jobAdd,jobUrl
深圳市通天在野网络技术有限公司,"
2万月薪起，Python工程师","
深圳-龙华新区|无工作经验|招10人|08-16发布",2-2.5万/月,"1、数字货币交易操作品种为比特币、莱特币、以太坊等数字货币；
  2、深入研究比特币、以太坊等主流币种，对非主流货币观察研究；
  3、进行币值管理，实现币值最大化；
  4、每天汇报仓位情况，交易总结及工作进度；
  5、活动协调，管理维护客户关系以及客户间的长期战略合作计划；
6、操作公司指定账户的运作，无论是实习阶段，试用期，正式录用后，都是由公司提供资金；
  任职资格：
  1、高度负责账户资金，严格执行安全控制；
  2、为人正直，待人真诚，毅力坚强，懂珍惜和感恩；
  3、良好的学习习惯并刻苦努力，能快速接受新事物及理念；
  4、数字形态敏感，严于律己，较好的逻辑分析和抗压能力；
5、敢于迎接挑战、能独立承受压力、完成公司交赋的工作任务 ；
6、大学专科及以上学历，了解Python等脚本语言优先；欢迎应届毕业生前来锻炼自己，挑战自我，欢迎优秀伙伴加入！
7、如果您是一名新手，我们将有强大的培训和交易支援体系帮助您，公司会在工作中不断开展专业知识及技能方面的培训；
8、男女不限，公司帅哥美女多！
职位前景：
  1、学习全球最新区块链技术及区块链资产交易；
  2、掌握行业动态，资金流向，价格追踪交易，多间交易所间对冲套利，趋势交易，量化交易及价值投资；
  3、深切研究「资产上链」在传统经济，私募投资及跨国交易的顚覆性；
  4、与机构投资者，交易所，技术方，项目方，行业大咖，知名艺人及媒体建立关系；
5、区块链的出现，标志着「价值互联网」时代的到来，行业正处于起步阶段，前途无量。
薪资构架：车费+底薪+奖金+分成+年底分红(优秀者年薪80-100万)
                                            
    
电话号码：
13926514794
 Andrew
（请备注职位，
欢迎预约报名面试
）
职能类别：
大数据开发/分析
软件工程师
关键字：
操盘手
数字货币
比特币
以太坊
python",深圳市龙华新区汇海广场A座1306室，1304-1308,https://jobs.51job.com/shenzhen-lhxq/104367862.html?s=01&t=0
深圳百一软件科技有限公司,"
[SQB41]机器学习实习生","
深圳-宝安区|无工作经验|大专|招6人|08-17发布",5-8千/月,"岗位职责：
1.深入理解业务需求，进行机器学习/计算机视觉算法的研发；

2.机器学习/计算机视觉前沿算法跟进与研发；

3.机器学习/计算机视觉算法在实际应用领域的性能优化。
任职要求：
1.掌握C/C++、Python等编程语言；

2.具有较强算法实现能力，同方向项目经验者优先。

3.具有较强的业务理解和解决问题的能力；

4.良好的沟通和团队协作能力者优先；
1. 每年固定1到2次调薪机会;

2.提供各类与工作相关的培训机会；

3.年度体检；

4.带薪病假、带薪年休假，法定节假日；

5.下午茶、聚餐、定期团体活动；

6.全勤奖、季度奖、项目奖及年终奖另计；

7.公司富含年轻有为，朝气十足，技术老成的同事小伙伴；

8.扁平化管理，客观，公正的晋升空间；

9.每年13-15个月的基本月薪 

本公司人性化管理+完善的晋升制度，是您展翅高飞的平台，欢迎加入我们！

工作环境：公司位于宝安区石岩，可提供住宿。高大上的工作环境，有舒适的开放式办公室环境及配备冰箱、微波炉、饮水机等员工休闲区；

工作时间：早九晚五点半，周末双休。
职能类别：
算法工程师
软件工程师
关键字：
深度学习
音视频处理
语音处理
人工智能",创业智慧城A1栋4楼,https://jobs.51job.com/shenzhen-baq/105417469.html?s=01&t=0
TCL集团工业研究院,"
计算机视觉AI算法实习生","
深圳-南山区|无工作经验|本科|招1人|08-17发布",4-5千/月,"一、工作职责：
1.计算机视觉相关领域网络模型设计及训练
2.图像数据预处理
3.网络模型手机端移植招聘要求
二、任职资格
1.计算机视觉相关专业在校研究生，能长期实习的优秀本科生亦可
2.熟悉深度学习模型训练及移植
3.熟悉python，Java，C，C++至少一种语言
4.全职实习者优先
职能类别：
算法工程师",深圳市南山区中山园路1001号TCL国际E城TCL多媒体大厦,https://jobs.51job.com/shenzhen-nsq/103513155.html?s=01&t=0
睿思商业智能（深圳）有限公司,"
[SQR36]大数据实习生","
深圳-福田区|无工作经验|大专|招6人|08-17发布",5-8千/月,"岗位职责：

1、通过不同的数据标注工具对相应源数据进行标注；

2、通过手工测试提高样本数据质量；

3、涉及数据逻辑关系梳理等分析类工作。
职位要求：
1、具有数据仓库的基本概念，了解相关的技术体系；
2、具备一定的编码能力，了解sql，python，hive，spark等，有大数据处理经验者优先；
3、对数据敏感，善于从数据中发现疑点；
4、善于沟通，具备优秀的技术与业务结合能力。
福利待遇：

1
、工作时间：
9
：
00~17:30 
，周末双休；

2
、提供五险一金，享有国家规定的法定假期、带薪年休假等福利待遇；

3
、有完善的培养体系、加薪和晋升制度，每年
4
次加薪机会，全年
14~~17
个月薪资；

4
、提供交通、餐饮、话费补贴；

5
、交通方便，靠近地铁口；工作地址：深圳宝安区石岩街道。
职能类别：
大数据开发/分析
技术文员/助理
关键字：
大数据
助理
实习
分析
开发",滨河大道联合广场A座35楼,https://jobs.51job.com/shenzhen-ftq/105351966.html?s=01&t=0
深圳市通天在野网络技术有限公司,"
Python量化交易员（实习高薪）","
深圳-龙华新区|无工作经验|招若干人|08-07发布",6-8千/月,"1、数字货币交易操作品种为比特币、莱特币、以太坊等数字货币；
  2、深入研究比特币、以太坊等主流币种，对非主流货币观察研究；
  3、进行币值管理，实现币值最大化；
  4、每天汇报仓位情况，交易总结及工作进度；
  5、活动协调，管理维护客户关系以及客户间的长期战略合作计划；
6、操作公司指定账户的运作，无论是实习阶段，试用期，正式录用后，都是由公司提供资金；
  任职资格：
  1、高度负责账户资金，严格执行安全控制；
  2、为人正直，待人真诚，毅力坚强，懂珍惜和感恩；
  3、良好的学习习惯并刻苦努力，能快速接受新事物及理念；
  4、数字形态敏感，严于律己，较好的逻辑分析和抗压能力；
5、敢于迎接挑战、能独立承受压力、完成公司交赋的工作任务 ；
6、大学专科及以上学历，了解Python等脚本语言优先；欢迎应届毕业生前来锻炼自己，挑战自我，欢迎优秀伙伴加入！
7、如果您是一名新手，我们将有强大的培训和交易支援体系帮助您，公司会在工作中不断开展专业知识及技能方面的培训；
8、男女不限，公司帅哥美女多！
职位前景：
  1、学习全球最新区块链技术及区块链资产交易；
  2、掌握行业动态，资金流向，价格追踪交易，多间交易所间对冲套利，趋势交易，量化交易及价值投资；
  3、深切研究「资产上链」在传统经济，私募投资及跨国交易的顚覆性；
  4、与机构投资者，交易所，技术方，项目方，行业大咖，知名艺人及媒体建立关系；
5、区块链的出现，标志着「价值互联网」时代的到来，行业正处于起步阶段，前途无量。
薪资构架：车费+底薪+奖金+分成+年底分红(优秀者年薪80-100万)
                                        
电话号码：13926514794 Andrew（请备注职位，欢迎预约报名面试）
职能类别：
脚本开发工程师
互联网软件开发工程师
关键字：
操盘手
数字货币
比特币
以太坊
python",深圳市龙华新区汇海广场A座1306室，1304-1308,https://jobs.51job.com/shenzhen-lhxq/104367847.html?s=01&t=0
深圳市中投兴业有限公司,"
经济研究员","
深圳-南山区|无工作经验|本科|招10人|08-17发布|英语良好",4-7千/月,"岗位职责
  1、发现和挖掘影响研究对象价格波动的相关数据，构建预测研究对象价格趋势的指标。
  2、负责目标市场及标的的数据研究，提供相关研究报告；
  3、基于各研究结果，进行甄别、加工与整理，挖掘有潜力的投资目标，形成投资策略；
  任职资格
  1、硕士以上学历，经济、金融等相关专业优先；在校硕士研究生及以上亦可加入我公司实习
  2、熟悉金融学、经济学、金融数据统计原理，至少懂一门统计分析工具（如Excel，VBA，Eviews，SAS，Matlab，R，Python等之一）；
  3、清晰的逻辑思维能力，良好的中英文阅读能力、语言表达能力和文字组织能力；
  4、具有严谨的工作态度和团队协作精神。
  5、有证券从业员资格者优先。
职能类别：
金融/经济研究员
风险管理/控制",科技园科苑西工业区25栋618室,https://jobs.51job.com/shenzhen-nsq/99281353.html?s=01&t=0
龙马智芯（珠海横琴）科技有限公司,"
大数据开发实习生","
珠海|无工作经验|本科|招10人|08-13发布",3-5千/月,"1、负责项目数据标准、数据系统的规划与设计，对数据进行基本治理和统计分析

2、负责统计学习相关的研发工作，包括但不限于数据预处理、数据挖掘、异常分析、社交网络分析、聚类、机器翻译等

3、建立统计模型，从数据层面发现业务和系统方面的问题，并支持解决

4、负责各类统计模型的移植和优化，建立及优化和维护设计平台数据仓库，解决数据准确性、计算稳定性等相关的技术问题

5、参与云计算平台产品的研发，包括大数据处理系统、机器学习计算系统、领域解决方案平台等

职位要求：

1、  计算机、软件、通信工程、数学等相关专业，大二以上本科、硕士或博士

2、 一周可实习4  天以上，并且实习期不低于2 个月

3、  熟练使用Python，Java，C/C++中至少一种编程语言

4、熟悉主流统计学习算法，并且至少使用过其中一种（例如但不限于Bayes、Random  Forest 等）；

5
、具有相关项目经历，包含但不限于以下方向：数据挖掘、数据治理、数据分析等
职能类别：
大数据开发/分析
关键字：
数据挖掘
数据处理
机器翻译
聚类",横琴新区,https://jobs.51job.com/zhuhai/99913343.html?s=01&t=0
中国科学院深圳先进技术研究院,"
生物信息、医学统计、数据挖掘实习生","
深圳-南山区|无工作经验|硕士|招若干人|08-17发布",1.5-2千/月,"岗位职责：
实习天数：
5 
天
/
周；实习时间
9
个月以上
从事生物信息方向科研工作，协助导师完成科研课题，包括基础统计研究，医学数据分析，组学数据分析，医学图像处理等；运用回归模型分析，聚类分析对医学数据（肿瘤基因组，电子病历，医学图像等）进行数据挖掘工作。
 
岗位要求：
1
．在校硕士生，博士生：统计学，数学，大数据挖掘，计算机、生物信息等相关专业；
 
2. 
会生物信息编程语言，熟练掌握
R/MATLAB/C++/Python 
等其中一门，对医疗数据模型分析有浓厚兴趣；
3. 
完成一年基础课，到本院做毕业论文设计，回校答辩
;
4. 
有生物信息分析经验的优先考虑；对基因组学，肿瘤研究背景者优先；
有良好数理基础，大数据方向，基础统计，计算机基础的优先；
会数据挖掘算法者优先，有回归分析，机器学习等研究者优先。
 
客座学生待遇：
 
1. 
提供较为丰厚的生活补助；免费提供公寓住宿与每日餐补；购买住院医疗保险、重大疾病保险及意外险；有继续深造打算的实习生可以优先录取为国科大的硕士生
/
博士生；优秀实习生可申请我院正式员工岗位；
2. 
导师同意，能够先进院实习不低于
6
个月，需要与导师签协议；在先进院做论文课题，回校答辩；
3. 
提供参加国内外召开的学术会议机会；
 
4. 
一流的研究环境与实验平台；
 
5. 
国内外各知名专家教授专业指导；
 
6. 
定期专业论坛及学术讲座；
7. 
季度成果奖励机制，对发表论文和专利申请的实习生有奖励机制。
 
职能类别：
科研人员",西丽大学城学苑大道1068号,https://jobs.51job.com/shenzhen-nsq/100663473.html?s=01&t=0
深圳市青葡萄科技有限公司,"
前端开发实习生","
深圳|无工作经验|本科|招2人|08-17发布",3-4.5千/月,"岗位职责：
1、根据业务需求，为云计算平台开发用户图形界面；
任职要求：
1、计算机相关专业，接受18年应届毕业生或19年实习生；
2、熟悉Web开发语言(JavaScript、HTML、CSS)
3、熟悉至少一种JavaScript框架，熟悉Angular JS者优先
4、熟悉python语言、Django框架优先
5、具有云计算相关的知识，熟悉OpenStack者优先
6、良好的沟通能力，快速学习的能力
加入青葡萄，你可以得到：
1.令你满意的薪资以及福利待遇，入职购买五险一金；
2.每年2次调薪机会，年终奖人人有份；
3.外区员工享有各类补贴以及公司额外购买的保险；
4.总部设有健身房和以及员工食堂，工作日提供餐饮以及餐饮补助；
5.公司每年组织旅游，每季度评选优秀员工，以及优秀员工奖；
6.每月部门活动经费，每月下午茶，员工生日会及生日福利；
7.享受各种带薪国家节假日，以及10天以上的带薪春节假期。
职能类别：
软件工程师
关键字：
云计算
前端开发
软件开发
前端实习生
应届毕业生",南山区南头检查站智恒产业园19栋402,https://jobs.51job.com/shenzhen/102372205.html?s=01&t=0
深圳市祺浩达科技有限公司,"
Python实习生","
深圳-福田区|无工作经验|大专|招2人|08-17发布",2-3千/月,"1.能独立完成系统代码的实现，编写代码注释和开发文档；
2.能辅助进行系统的功能定义以及程序设计；
3.根据设计文档或需求说明完成代码编写，调试，测试和维护；
4.分析并解决网站、软件开发过程中的问题；
5.配合团队完成相关任务目标。
任职要求
1.计算机软件或理工类相关专业，大专及以上学历。
2使用过django框架开发项目为佳。
3.有一定的web前端技能，了解或熟悉HTML、CSS、Javascript
4.对新技术有强烈的兴趣，学习能力强，并有较好的团队协作能力。
5.工作细心、认真、责任心强，具有良好的团队协作精神；
6.良好的敬业精神、恪守职业道德、为人诚实可靠、品行端正。
职能类别：
软件工程师
实习生
关键字：
Python
实习生
开发
爬虫
应届生",深圳市福田区深圳市福田区深南中路3019号,https://jobs.51job.com/shenzhen-ftq/104845537.html?s=01&t=0
武汉市哈哈便利科技有限公司,"
深度学习图像算法工程师","
深圳-南山区|3-4年经验|本科|招若干人|08-06发布|计算机科学 电子信息科学与技术",2.5-5万/月,"职位诱惑：         创业公司,空间大
 
岗位职责：
 1、负责商品识别深度学习算法和图像处理算法的代码实现；
2、在AI科学家和AI高级工程师指导下，完成相关课题研究。
 任职要求： 
基本项：
1、本科或以上学历，两年以上相关工作经验或研究经历；
2、有物体检测、分类、语义分割、实例分割等深度学习经验；
3、熟练掌握计算机视觉&机器学习的基本方法；
4、较强的算法实现能力，熟练掌握 C/C++ /Python 编程；
5、算法基础扎实，掌握常见设计模式，具有良好代码风格和质量意识，能独立完成算法模块设计、开发和测试；
6、优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情；
7、良好的沟通能力和团队合作能力。
优先项：
1、有较强的研究能力者优先，例如在国际顶尖会议或期刊（包括但不限于CVPR, ICCV, ECCV, NIPS, ICML, AAAI, TPAMI, IJCV等）上发表过论文；
2、有较强的代码能力者优先，获得过ACM或其他商业代码竞赛的荣誉，如ACM区预赛金牌、NOI银牌以上、百度之星决赛等，或代码开源在GitHub上并有较大影响；
3、有较强的比赛经验者或者在重要数据集的排行榜上排名靠前的优先，这些比赛包括但不限于ImageNet、MS COCO等相关竞赛，Kaggle和AI Challenger 等一些国内外商业比赛等；
4、有较丰富的相关经验者优先，比如有一年以上在人工智能领域公司进行计算机视觉&机器学习方面实习或工作的经验，或来自国内外计算机视觉/机器学习/计算机图形学/数据挖掘等领域内知名实验室。
职能类别：
算法工程师
软件UI设计师/工程师",海天一路19号随着软件产业基地4栋A座1102,https://jobs.51job.com/shenzhen-nsq/99038779.html?s=01&t=0
深圳市通天在野网络技术有限公司,"
2万月薪起，数字货币操盘手","
深圳-龙华新区|无工作经验|招10人|08-16发布",2-2.5万/月,"1、数字货币交易操作品种为比特币、莱特币、以太坊等数字货币；
  2、深入研究比特币、以太坊等主流币种，对非主流货币观察研究；
  3、进行币值管理，实现币值最大化；
  4、每天汇报仓位情况，交易总结及工作进度；
  5、活动协调，管理维护客户关系以及客户间的长期战略合作计划；
6、操作公司指定账户的运作，无论是实习阶段，试用期，正式录用后，都是由公司提供资金；
  任职资格：
  1、高度负责账户资金，严格执行安全控制；
  2、为人正直，待人真诚，毅力坚强，懂珍惜和感恩；
  3、良好的学习习惯并刻苦努力，能快速接受新事物及理念；
  4、数字形态敏感，严于律己，较好的逻辑分析和抗压能力；
5、敢于迎接挑战、能独立承受压力、完成公司交赋的工作任务 ；
6、大学专科及以上学历，了解Python等脚本语言优先；欢迎应届毕业生前来锻炼自己，挑战自我，欢迎优秀伙伴加入！
7、如果您是一名新手，我们将有强大的培训和交易支援体系帮助您，公司会在工作中不断开展专业知识及技能方面的培训；
8、男女不限，公司帅哥美女多！
职位前景：
  1、学习全球最新区块链技术及区块链资产交易；
  2、掌握行业动态，资金流向，价格追踪交易，多间交易所间对冲套利，趋势交易，量化交易及价值投资；
  3、深切研究「资产上链」在传统经济，私募投资及跨国交易的顚覆性；
  4、与机构投资者，交易所，技术方，项目方，行业大咖，知名艺人及媒体建立关系；
5、区块链的出现，标志着「价值互联网」时代的到来，行业正处于起步阶段，前途无量。
                                    
薪资构架：车费+底薪+奖金+分成+年底分红 (优秀者年薪80-100万)
职能类别：
股票/期货操盘手
投资银行业务
关键字：
操盘手
数字货币
比特币
以太坊
python",深圳市龙华新区汇海广场A座1306室，1304-1308,https://jobs.51job.com/shenzhen-lhxq/104367890.html?s=01&t=0
深圳市中投兴业有限公司,"
经济研究员","
深圳-南山区|无工作经验|本科|招10人|08-17发布",1-1.5万/月,"岗位职责
1、发现和挖掘影响研究对象价格波动的相关数据，构建预测研究对象价格趋势的指标。
2、负责目标市场及标的的数据研究，提供相关研究报告；
3、基于各研究结果，进行甄别、加工与整理，挖掘有潜力的投资目标，形成投资策略；
任职资格
1、硕士以上学历，经济、金融等相关专业优先；在校硕士研究生及以上亦可加入我公司实习
2、熟悉金融学、经济学、金融数据统计原理，至少懂一门统计分析工具（如Excel，VBA，Eviews，SAS，Matlab，R，Python等之一）；
3、清晰的逻辑思维能力，良好的中英文阅读能力、语言表达能力和文字组织能力；
4、具有严谨的工作态度和团队协作精神。
5、有证券从业员资格者优先。
职能类别：
金融/经济研究员",科技园科苑西工业区25栋618室,https://jobs.51job.com/shenzhen-nsq/99266015.html?s=01&t=0
深圳市中投兴业有限公司,"
量化研究员","
深圳-南山区|无工作经验|本科|招10人|08-17发布|数学与应用数学 统计学",1-1.5万/月,"岗位概述：
    
1、独立或协助完成团队选定方向的量化策略研究工作，针对市场热点课题进行研究；
    
2、独立或协助进行量化模型以及策略开发与实施。
    
任职要求：
    
1、全日制本科及以上学历，数学、统计、金融工程、风险管理、计算机、经济学、金融学、计量经济学、工商管理MBA、心理学等相关专业；  
    
2、积极进取，强烈的上进心，抗压能力强；
    
3、在校硕士研究生及以上亦可加入我公司实习
    
4、至少熟悉一项量化相关编程语言（SAS，R， Matlab，Python等）。
职能类别：
金融/经济研究员
证券分析师
关键字：
量化",科技园科苑西工业区25栋618室,https://jobs.51job.com/shenzhen-nsq/102097282.html?s=01&t=0
深圳市华付信息技术有限公司,"
算法研究负责人","
深圳-南山区|无工作经验|硕士|招1人|08-17发布",7-10万/月,"工作内容：
1、负责计算机视觉&机器学习（包括深度学习算法的开发与性能提升），负责下述研究课题中的一项或多项，包括但不限于：人脸检测、人脸关键点检测、人脸识别、人脸属性、活体检测、OCR等；
2、推动计算机视觉&机器学习算法在众多实际应用领域（公有云、人证合一等）的性能优化和落地；
3、提出和实现最前沿的算法，保持算法在工业界和学术界的领先。
任职要求：
1、硕士或以上学历，计算机、电子信息或软件等相关专业；
2、熟练掌握计算机视觉、深度学习的基本方法；
3、较强的算法实现能力，熟练掌握C/C++编程，熟悉Shell/Python/Matlab编程之一;
4、具有丰富的深度学习框架（如Caffe，TensorFlow，MXNet，Torch）应用经验；
5、优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情；
6、良好的沟通能力和团队合作能力；
7、满足以下一个或多个条件的，优先考虑：
1)有较强的研究能力者优先，例如在国际顶尖会议或期刊（包括但不限于CVPR,ICCV,ECCV,NIPS,ICML,AAAI,TPAMI,IJCV等上发表过论文；
2)有较强的代码能力者优先，获得过ACM或其他商业代码竞赛的荣誉，如ACM区预赛金牌、NOI银牌以上、百度之星决赛等，或代码开源在GitHub上并有较大影响；
3)有较强的比赛经验者或者在重要数据集的排行榜上排名靠前的优先，这些比赛包括但不限于ImageNet等相关竞赛、Kaggle等一些国内外商业比赛、亚太大学生/国际空中/Robomaster机器人大赛等；
4)有较丰富的相关经验者优先，比如有一年以上在人工智能领域公司进行计算机视觉&机器学习方面实习的经验，或来自国内外计算机视觉/机器学习/计算机图形学/数据挖掘等领域内知名实验室。
注：职位拥有额外的股权激励。
职能类别：
算法工程师",高新南7道深圳软件园T2-B  5楼,https://jobs.51job.com/shenzhen-nsq/103566760.html?s=01&t=0
深圳市中标医学数据研究中心,"
统计分析实习生","
深圳-南山区|无工作经验|本科|招2人|08-15发布|英语良好|统计学",2-3千/月,"岗位职责：
1、根据各项目制定的分析方案，利用统计软件编写代码，对数据库进行清理，进行数据间逻辑的交叉检验，并生成统计图表及建立统计模型，撰写统计报告；
2、根据研究项目需求进行文献搜集、阅读和整理；
3、协助部门做好相关工作，完成上级交付的其它任务。
任职要求：
1、大学本科四年级或硕士研究生在校生，统计学、卫生统计学、流行病学、或医院管理相关专业，每周需保证三个工作日出勤；
2、有大数据分析、机器学习等项目经验，或临床数据分析经验的优先；
3、统计知识扎实、数理统计与研究分析能力强，具有良好的逻辑思维能务和学习能力；
4、良好的中英文阅读、写作和表达能力；
5、熟练使用office（PPT、Word、Excel等），能熟练使用SAS、R或Python等工具分析数据；
6、积极、主动、认真、负责，有不断学习的意识和意愿，团队合作佳，沟通佳。
职能类别：
其他
临床数据分析员",茂业时代广场,https://jobs.51job.com/shenzhen-nsq/91293315.html?s=01&t=0
顺丰科技有限公司,"
图像算法实习生","
深圳-南山区|无工作经验|本科|招若干人|08-15发布",200元/天,"岗位职责：
1、 根据模型训练要求对目标区域进行拉框标点，对图片上的文字进行标注；
2、 负责图像目标检测，图像识别，视频理解相关算法的实现。
任职要求：
1、 在校大学生；
2、 做事耐心细致，工作踏实，有良好的沟通与团队合作能力；
3、 熟练使用python，有图像识别，视频理解项目经验，对图像处理，深度学习算法有较深刻的理解；
4、 熟练网页开发，熟悉Python Django, Spring MVC, Spring Boot, Spring、Struts2、Hibernate、Mybatis这些框架中的一种或多种，具有网页开发经验的优先；
5、 熟练掌握电脑常用的基础软件操作，有过数据标注经验者优先；
6、 能承担一定的工作压力，能稳定实习3个月以上，每周至少4天。
福利待遇：
实习补贴200元/天，餐饮补贴21元/天。
?
职能类别：
算法工程师",深圳市南山区软件产业基地,https://jobs.51job.com/shenzhen-nsq/103770892.html?s=01&t=0
深圳驾图通信技术有限公司,"
算法实习生","
深圳|无工作经验|招2人|08-17发布",3000元/天,"职位描述
参与车联网终端海量数据的分析挖掘系统的建设；
1、通过数据分析支持项目改进及新模式的探索；
2、对实际问题进行业务建模，编写软件代码进行实际分析；
3、负责用户行为数据分析，通过监控及分析，推动产品改进，运营调整。
4、构建异常数据、业务数据分析规则，并根据规则编写分析代码进行分析；
5、参与公司数据运营分析系统的设计和开发；
任职要求：
1、计算机相关专业研究生2年级或者本科4年级；
2、熟悉mysql,oracle,sqlsqerver任意一种数据库；
3、熟悉java、python、C\C++任意一种语言；
4、参加过数学建模比赛或者软件设计比赛优先；
5、通过软件资格考试中级程序员或者设计师优先；
6、对软件开发、大数据分析有浓厚兴趣，有专研精神，有实际软件开发项目经历优先；职能类别：
高级软件工程师",深圳市南山区科技园中区科苑路15号科兴科学园B2栋301,https://jobs.51job.com/shenzhen/84128228.html?s=01&t=0
深圳无境创新科技有限公司,"
嵌入式硬件工程师（实习）","
深圳-南山区|无工作经验|大专|招若干人|08-17发布",130元/天,"岗位职责 :
1.熟悉和了解公司产品，编写技术文档、专利文档、安装手册等；
2.协助工程师开发测试相关硬件产品，编写测试报告；
3.协助新门店的智能设备安装与调试；
4.负责智能硬件的集成开发与调试。
任职要求：
1.计算机，电子技术相关专业，一周至少实习3天以上；
2.有嵌入式硬件开发经验，熟悉linux系统；
3.掌握C/C++，python等语言，有过智能硬件开发项目者优先；
4.有较强的自我学习能力，勤奋工作，聪明干活。
职能类别：
硬件工程师",科智路园西工业区25栋608,https://jobs.51job.com/shenzhen-nsq/104939622.html?s=01&t=0
深圳墨子谷科技有限公司,"
互联网产品经理实习生（武汉）","
武汉-洪山区|无工作经验|本科|招2人|08-17发布",100元/天,"深圳墨子谷科技有限公司
我们是一家由前腾讯、华为员工创办，集互联网技术、小程序、自媒体于一身的新型创业公司。核心创始人为连续创业者，在上一次创业的两年期间，实现了上亿级别的用户累积，日活跃用户达5000万。
2017年上半年，核心创始人建立墨子谷。回归精耕细作，致力于培养综合力Max的互联网青年，投资最具潜力的互联网项目，目前主要成员都是来自重点985、211的90后。经过半年的锻炼，第一批产品经理已多次成功完成了0到百万级流量的产品实践。
其中【无邪工作室】致力于凝聚一批脑洞奇崛、执行力超强的污萌欢脱实力派互联网er。
想要一个加入的理由？
如果，你是热爱产品策划和运营的互联网er！！！！
这里有人创造了日活数百万的互联网产品！！
这里有人一天累积十万粉丝！！
这里可以通过墨子谷自研的开发工具，让不懂代码的你也能轻松实现产品梦想！！
无邪工作室诚挚欢迎不BB的实力派，可污可萌可脑洞的加鸡腿。
【招聘岗位】：产品经理实习生
*我们可以培养你基础的编程能力，在快速迭代的实践中锻炼对产品的感觉。让你有机会实现自己的产品构思，并投入到市场中进行检验。
任职要求： 
1. 热爱互联网产品、关注行业动态，接触过大量的互联网产品，并有所思考和理解。
2. 对互联网产品有热情和感觉，具备同理心，能分析和把握用户的喜好。
3. 有一定的编程基础，懂Python语言优先。（0基础有热情也可学，需要大概2周的培训期）
4. 有一定的审美能力，熟悉PS等至少一种图片处理软件，可以制作简单的平面设计。
5. 学习能力、执行能力强，思维活跃，性格活泼外向，有责任心以及自我驱动力。
6. 在读研究生或本科生，专业不限，武汉本地高校 。
7. 每周可坐班3天及以上者优先。
工作内容： 
1.辅助产品经理完成H5、小程序等产品的策划、上线、运营，直至能独立完成产品。
2.负责产品运营，监控数据并即时响应问题。挖掘和分析粉丝的需求，收集粉丝反馈，分析粉丝行为及喜好。
待遇：100/天，外加绩效奖金；
实习三个月，可提供实习证明。
工作地点：武汉市洪山区光谷新世界A栋602（邻近华中科技大学南大门）
简历请
至：wxhukaixin@163.com（欢迎附带作品）
职能类别：
产品专员
关键字：
产品经理
产品运营
产品策划
互联网
小程序",光谷新世界A栋602,https://jobs.51job.com/wuhan-hsq/99737014.html?s=01&t=0
深圳前海阿凡达物流网络科技有限公司,"
Python开发实习生","
深圳-南山区|无工作经验|本科|招10人|06-18发布",2-3千/月,"负责
AI
算法调度中间件的设计、开发和维护；
负责与算法模块与工程项目的集成。
            
    
任职要求：
深圳大学的相关专业在读本科；
深入理解离线数据流程和调度模式；
具有
AI
、计算机视觉相关项目经验者优先；
具有独立解决问题的能力，有很强的学习能力。
职能类别：
互联网软件开发工程师
软件工程师
关键字：
Python
大数据
算法
程序员
工程师
软件开发
互联网",大冲华润置地大厦,https://jobs.51job.com/shenzhen-nsq/102039543.html?s=01&t=0
深圳市策维科技有限公司,"
人工智能应用工程师","
深圳-龙华新区|无工作经验|招2人|06-19发布",1-1.5万/月,"岗位职责：
1，负责自然语言处理、数据挖掘相关研究工作，自动问答和对话、信息抽取、语义分析等自然语言处理任务的研发；
2，负责图像自动识别工作，通过Matlab/OpenCV/Python等对算法进行功能、性能仿真和验证； 
3，负责信息检索、query处理的相关研发工作； 
4，使用第三方技术与框架，负责相关应用组件组件、平台以及linux后台开发工作。
任职要求：
(1) 拥有人工智能相关专业，或者计算机相关专业但具有人工智能相关领域1年以上工作或实习经验；
(2) 编程基础好，熟悉算法数据结构，有丰富的JAVA开发经验，熟悉Python脚本语言； 
(3)掌握Tensorflow，caffe等主流深度学习框架； 
(4) 具有spark、hadoop的相关系统经验；
(5) 具有机器学习、计算机视觉、自然语言处理等领域工作经验者优先； 
(6) 熟悉数据分析过程，具有独立完成数据抽取、数据建模、数据分析等任务经历者优先；
(7) 有良好的逻辑分析能力和强烈的自我驱动力，踏实肯干、善于沟通并有责任心。
职能类别：
软件工程师",观澜高新科技园观益路5号多彩工业园,https://jobs.51job.com/shenzhen-lhxq/100206131.html?s=01&t=0
招商基金管理有限公司,"
研究员岗（量化研究）","
深圳|无工作经验|硕士|招2人|06-24发布|统计学 计算机科学与技术",,"岗位职责：
协助投资经理进行量化数据及模型维护；跟踪机器学习及人工智能方向最新研究成果；协助探索研究人工智能与金融结合各种可能性。
岗位要求：
1、2019或2020届硕博研究生，机器学习、人工智能以及金融工程相关专业，仅限985院校毕业生；
2、熟练使用python或MATLAB；
3、有大规模数据处理或者有机器学习、人工智能研究经验优先（简历中可简要描述研究成果）；
4、保证每周到岗实习4天或以上。
工作地点：深圳
招聘人数：1人
职能类别：
金融/经济研究员",None,https://jobs.51job.com/shenzhen/95366187.html?s=01&t=0
